Ping     Download     Upload    Data
22.398    34.89        23.34     Wed Mar  2 19:31:07 2016

23.836    33.00        22.95     Wed Mar  2 19:31:07 2016

22.359    35.75        23.14     Wed Mar  2 19:31:07 2016

22.247    35.98        21.91     Wed Mar  2 19:31:07 2016

24.421    35.95        22.86     Wed Mar  2 19:31:07 2016

20.833    33.66        21.56     Wed Mar  2 19:31:07 2016

21.455    31.58        22.71     Wed Mar  2 19:31:07 2016

21.536    36.05        22.16     Wed Mar  2 19:31:07 2016

24.467    34.30        22.76     Wed Mar  2 19:31:07 2016

21.559    35.62        22.69     Wed Mar  2 19:31:07 2016

21.462    35.13        23.13     Wed Mar  2 19:31:07 2016

25.646    35.12        22.91     Wed Mar  2 19:31:07 2016

21.178    35.11        22.26     Wed Mar  2 19:31:07 2016

21.12    34.01        20.48     Wed Mar  2 19:31:07 2016

23.253    35.90        23.00     Wed Mar  2 19:31:07 2016

20.882    36.37        22.29     Wed Mar  2 19:31:07 2016

22.139    34.38        22.45     Wed Mar  2 19:31:07 2016

23.062    35.12        21.49     Wed Mar  2 19:31:07 2016

20.697    35.90        22.76     Wed Mar  2 19:31:07 2016

21.062    31.96        22.82     Wed Mar  2 19:31:07 2016

21.148    34.34        22.95     Wed Mar  2 19:31:07 2016

24.366    34.68        20.77     Wed Mar  2 19:31:07 2016

21.122    33.10        22.24     Wed Mar  2 19:31:07 2016

20.721    33.49        20.46     Wed Mar  2 19:31:07 2016

20.49    34.49        1.86     Wed Mar  2 19:31:07 2016

21.86    34.54        23.05     Wed Mar  2 19:31:07 2016

27.342    34.27        19.10     Wed Mar  2 19:31:07 2016

20.578    34.74        23.34     Wed Mar  2 19:31:07 2016

21.233    35.38        22.96     Wed Mar  2 19:31:07 2016

24.048    25.98        22.60     Wed Mar  2 19:31:07 2016

20.181    35.56        23.19     Wed Mar  2 19:31:07 2016

20.645    34.70        23.12     Wed Mar  2 19:31:07 2016

23.568    34.92        23.14     Wed Mar  2 19:31:07 2016

23.919    35.54        23.04     Wed Mar  2 19:31:07 2016

23.989    30.14        23.11     Wed Mar  2 19:31:07 2016

23.0    33.98        22.49     Wed Mar  2 19:31:07 2016

22.021    24.53        19.82     Wed Mar  2 19:31:07 2016

22.547    34.28        19.48     Wed Mar  2 19:31:07 2016

20.842    35.36        21.40     Wed Mar  2 19:31:07 2016

21.935    33.66        22.27     Wed Mar  2 19:31:07 2016

21.673    22.94        22.71     Wed Mar  2 19:31:07 2016

20.847    31.25        22.76     Wed Mar  2 19:31:07 2016

23.802    32.89        23.31     Wed Mar  2 19:31:07 2016

20.406    33.56        23.35     Wed Mar  2 19:31:07 2016

21.315    33.70        20.81     Wed Mar  2 19:31:07 2016

21.244    33.75        22.77     Wed Mar  2 19:31:07 2016

22.312    33.98        13.51     Wed Mar  2 19:31:07 2016

21.225    35.14        21.44     Wed Mar  2 19:31:07 2016

21.151    32.05        23.29     Wed Mar  2 19:31:07 2016

22.046    33.48        22.16     Wed Mar  2 19:31:07 2016

21.078    33.48        21.62     Wed Mar  2 19:31:07 2016

20.493    34.01        19.02     Wed Mar  2 19:31:07 2016

22.013    35.24        19.14     Wed Mar  2 19:31:07 2016

21.398    32.20        19.12     Wed Mar  2 19:31:07 2016

21.978    35.43        17.76     Wed Mar  2 19:31:07 2016

22.054    35.74        20.34     Wed Mar  2 19:31:07 2016

20.489    35.34        19.80     Wed Mar  2 19:31:07 2016

21.903    33.99        22.56     Wed Mar  2 19:31:07 2016

