Download: 30.84 Mbit/s
Upload: 22.28 Mbit/s
Ping: 22.004 ms
Download: 34.93 Mbit/s
Upload: 21.15 Mbit/s
Ping: 25.139 ms
Download: 34.78 Mbit/s
Upload: 21.74 Mbit/s
Ping: 25.131 ms
Download: 34.90 Mbit/s
Upload: 22.01 Mbit/s
Ping: 21.263 ms
Download: 33.91 Mbit/s
Upload: 20.80 Mbit/s
Ping: 23.347 ms
Download: 33.84 Mbit/s
Upload: 21.35 Mbit/s
Ping: 21.797 ms
Download: 35.65 Mbit/s
Upload: 19.81 Mbit/s
Ping: 22.637 ms
Download: 34.24 Mbit/s
Upload: 21.31 Mbit/s
Ping: 23.204 ms
Download: 33.03 Mbit/s
Upload: 20.97 Mbit/s
Ping: 21.439 ms
Download: 33.32 Mbit/s
Upload: 20.79 Mbit/s
Ping: 23.026 ms
Download: 34.18 Mbit/s
Upload: 19.23 Mbit/s
Ping: 20.636 ms
Download: 34.37 Mbit/s
Upload: 21.79 Mbit/s
Ping: 22.555 ms
Download: 34.53 Mbit/s
Upload: 20.43 Mbit/s
Ping: 21.524 ms
Download: 32.56 Mbit/s
Upload: 18.20 Mbit/s
Ping: 21.535 ms
Download: 34.17 Mbit/s
Upload: 23.25 Mbit/s
Ping: 20.577 ms
Download: 34.89 Mbit/s
Upload: 23.42 Mbit/s
Ping: 23.427 ms
Download: 34.67 Mbit/s
Upload: 23.24 Mbit/s
Ping: 21.001 ms
Download: 35.02 Mbit/s
Upload: 22.92 Mbit/s
Ping: 21.368 ms
Download: 34.31 Mbit/s
Upload: 23.29 Mbit/s
Ping: 20.63 ms
Download: 35.81 Mbit/s
Upload: 20.84 Mbit/s
Ping: 22.472 ms
Download: 34.07 Mbit/s
Upload: 20.85 Mbit/s
Ping: 20.954 ms
Download: 34.71 Mbit/s
Upload: 12.85 Mbit/s
Ping: 22.597 ms
Download: 35.90 Mbit/s
Upload: 21.12 Mbit/s
